date,timestamp,price_usd,volume_24h,volatility_7d,volatility_30d
2024-09-04,1725404400,1798.72,517404128.67,0.4002,0.4604
2024-09-05,1725490800,1769.76,1962462540.61,0.5036,0.6319
2024-09-06,1725577200,1686.51,1840373703.71,0.3335,0.1153
2024-09-07,1725663600,1637.66,1136187026.86,0.513,0.3717
2024-09-08,1725750000,1694.62,511144987.25,0.207,0.5538
2024-09-09,1725836400,1655.72,1889846677.48,0.4153,0.5259
2024-09-10,1725922800,1690.97,1052867898.12,0.1145,0.3031
2024-09-11,1726009200,1757.92,1289612080.72,0.6086,0.2923
2024-09-12,1726095600,1820.07,1285035191.74,0.3633,0.4543
2024-09-13,1726182000,1746.4,1503075708.58,0.3748,0.3221
2024-09-14,1726268400,1694.15,1855377908.91,0.4284,0.5436
2024-09-15,1726354800,1693.7,1360947952.42,0.3814,0.7127
2024-09-16,1726441200,1705.19,751262244.23,0.3815,0.2961
2024-09-17,1726527600,1783.2,890664704.83,0.3145,0.3592
2024-09-18,1726614000,1728.84,937629813.06,0.4472,0.5031
2024-09-19,1726700400,1725.91,615293389.39,0.4741,0.401
2024-09-20,1726786800,1691.39,885433580.89,0.439,0.2782
2024-09-21,1726873200,1673.69,1488733460.53,0.3863,0.6407
2024-09-22,1726959600,1643.44,771213786.3,0.4117,0.5411
2024-09-23,1727046000,1676.62,1393316137.8,0.5746,0.2067
2024-09-24,1727132400,1628.37,1074750489.42,0.3215,0.2776
2024-09-25,1727218800,1697.92,1762749552.86,0.5608,0.6025
2024-09-26,1727305200,1688.51,1196022392.05,0.2813,0.5838
2024-09-27,1727391600,1691.48,850491967.57,0.3895,0.3682
2024-09-28,1727478000,1755.42,1152101494.5,0.3853,0.8968
2024-09-29,1727564400,1778.63,1295380134.32,0.5153,0.5252
2024-09-30,1727650800,1756.14,1766358924.27,0.2825,0.3641
2024-10-01,1727737200,1799.09,1703474541.36,0.4433,0.8148
2024-10-02,1727823600,1796.09,862695452.58,0.3287,0.2474
2024-10-03,1727910000,1762.72,1989822270.5,0.4415,0.5769
2024-10-04,1727996400,1773.91,1116873149.92,0.2247,0.5019
2024-10-05,1728082800,1829.2,877844160.72,0.6537,0.609
2024-10-06,1728169200,1881.65,1840950446.23,0.492,0.8147
2024-10-07,1728255600,2017.95,629579561.09,0.3347,0.4313
2024-10-08,1728342000,1937.38,1704800098.77,0.479,0.6389
2024-10-09,1728428400,1992.22,1490716769.58,0.5966,0.6507
2024-10-10,1728514800,2027.26,1538332237.71,0.3227,0.252
2024-10-11,1728601200,2135.52,915931222.33,0.5875,0.6258
2024-10-12,1728687600,2155.04,1719201295.8,0.4749,0.6182
2024-10-13,1728774000,2168.07,1088951667.9,0.4061,0.4741
2024-10-14,1728860400,2132.67,1420949436.46,0.5772,0.6837
2024-10-15,1728946800,2153.63,605618490.7,0.4134,0.2068
2024-10-16,1729033200,2191.95,1479297999.0,0.4917,0.5503
2024-10-17,1729119600,2210.58,994746303.98,0.44,0.5609
2024-10-18,1729206000,2095.16,1217209139.12,0.2508,0.7332
2024-10-19,1729292400,2080.24,838770262.93,0.2785,0.753
2024-10-20,1729378800,2055.21,1302956114.73,0.5849,0.5405
2024-10-21,1729465200,2076.7,1995523694.44,0.3638,0.3978
2024-10-22,1729551600,2047.06,1761772380.69,0.4581,0.3848
2024-10-23,1729638000,2133.44,1951269440.92,0.3828,0.4073
2024-10-24,1729724400,2149.26,1533263873.6,0.139,0.5852
2024-10-25,1729810800,2156.55,553547432.94,0.9466,0.6564
2024-10-26,1729897200,2226.44,1689108757.76,0.3404,0.3655
2024-10-27,1729983600,2243.94,1949861209.79,0.5858,0.5688
2024-10-28,1730073600,2321.29,1108261784.0,0.5021,0.8329
2024-10-29,1730160000,2247.51,1805300044.35,0.2099,0.4751
2024-08-01,1722466800,1791.67,912543977.55,0.491,0.872
2024-08-02,1722553200,1676.82,630408248.94,0.4175,0.5732
2024-08-03,1722639600,1742.6,539803954.53,0.5187,0.8249
2024-08-04,1722726000,1724.0,1383898525.81,0.4562,0.5287
2024-08-05,1722812400,1661.44,1010375774.78,0.6607,0.9661
2024-08-06,1722898800,1679.78,645074565.25,0.5673,0.3274
2024-08-07,1722985200,1616.36,1304342137.18,0.5942,0.5172
2024-08-08,1723071600,1561.52,1427779628.55,0.5771,0.3496
2024-08-09,1723158000,1549.53,841847413.48,0.435,0.6291
2024-08-10,1723244400,1574.72,916960404.67,0.356,0.4065
2024-08-11,1723330800,1594.06,900466733.07,0.6498,0.438
2024-08-12,1723417200,1571.14,1593690196.93,0.5259,0.7172
2024-08-13,1723503600,1592.26,1335424615.66,0.3348,0.1973
2024-08-14,1723590000,1563.31,548150365.86,0.4027,0.6947
2024-08-15,1723676400,1684.39,1814551439.71,0.3634,0.8182
2024-08-16,1723762800,1726.49,1188277778.88,0.4395,0.6999
2024-08-17,1723849200,1702.24,1376878985.34,0.5713,0.4291
2024-08-18,1723935600,1890.67,1264289440.51,0.4892,0.5836
2024-08-19,1724022000,1965.64,1688119046.54,0.402,0.584
2024-08-20,1724108400,2054.42,1293671517.65,0.743,0.4782
2024-08-21,1724194800,2098.35,1522565553.54,0.335,0.5137
2024-08-22,1724281200,2072.38,1152147876.0,0.0936,0.6922
2024-08-23,1724367600,2053.85,1250879169.58,0.5935,0.948
2024-08-24,1724454000,2032.14,1458424242.3,0.3831,0.4771
2024-08-25,1724540400,1962.52,1667939717.95,0.445,0.5487
2024-08-26,1724626800,1975.12,1893647924.4,0.6549,0.2893
2024-08-27,1724713200,1995.81,1817014398.81,0.51,0.5223
2024-08-28,1724799600,1994.27,1640903247.89,0.4578,0.4457
2024-08-29,1724886000,1985.05,897584943.41,0.5594,0.3993
2024-08-30,1724972400,2066.91,1594896603.63,0.4892,0.7148
2024-08-31,1725058800,2098.24,1157150125.87,0.3743,0.5388
2024-09-01,1725145200,2161.92,1382463077.69,0.4632,0.69
2024-09-02,1725231600,2233.3,843412675.72,0.6963,0.3281
2024-09-03,1725318000,2273.9,1503466667.44,0.4678,0.6539
2024-09-04,1725404400,2270.65,1209006539.47,0.5088,0.1955
2024-09-05,1725490800,2307.58,1146576773.61,0.3008,0.6536
2024-09-06,1725577200,2205.0,1976247817.05,0.5741,0.6677
2024-09-07,1725663600,2297.47,872984500.88,0.5101,0.753
2024-09-08,1725750000,2311.95,874709671.82,0.5938,0.4497
2024-09-09,1725836400,2268.3,575882494.29,0.7352,0.5483
2024-09-10,1725922800,2293.58,1773043601.62,0.5368,0.7495
2024-09-11,1726009200,2371.28,587953099.96,0.1342,0.9505
2024-09-12,1726095600,2496.05,1182512551.01,0.1165,0.7836
2024-09-13,1726182000,2530.08,1577612412.94,0.5209,0.6887
2024-09-14,1726268400,2548.28,1313292802.06,0.4493,0.4814
2024-09-15,1726354800,2481.76,1779079838.07,0.6597,0.9753
2024-09-16,1726441200,2523.7,1392552659.68,0.4003,0.4194
2024-09-17,1726527600,2676.32,869323021.68,0.2772,0.3944
2024-09-18,1726614000,2702.37,1284174073.3,0.543,0.4961
2024-09-19,1726700400,2645.04,1093678770.19,0.3901,0.4011
2024-09-20,1726786800,2753.69,608814671.74,0.0713,0.7364
2024-09-21,1726873200,2769.14,819731468.4,0.4167,1.0132
2024-09-22,1726959600,2700.14,1054290633.11,0.6056,0.867
2024-09-23,1727046000,2588.15,1980849595.45,0.4393,0.5294
2024-09-24,1727132400,2542.5,1495083072.45,0.5247,0.5098
2024-09-25,1727218800,2580.71,1329835461.33,0.4214,0.8199
2024-09-26,1727305200,2531.19,1451356938.33,0.4348,0.7807
2024-09-27,1727391600,2494.5,638447701.57,0.3429,0.6244
2024-09-28,1727478000,2545.17,1455670065.95,0.4315,0.8779
2024-09-29,1727564400,2499.04,514504549.41,0.7267,0.7387
2024-09-30,1727650800,2476.43,1751892529.83,0.3762,0.4939
2024-10-01,1727737200,2541.98,1848472233.11,0.5351,0.1695
2024-10-02,1727823600,2530.04,874294608.83,0.6585,0.7595
2024-10-03,1727910000,2502.82,1430992265.23,0.6452,0.9306
2024-10-04,1727996400,2398.61,1716157579.91,0.4747,0.5196
2024-10-05,1728082800,2337.16,1896223829.07,0.5466,0.1718
2024-10-06,1728169200,2297.43,1681061763.7,0.6867,0.8048
2024-10-07,1728255600,2274.36,1724879908.4,0.326,0.5921
2024-10-08,1728342000,2236.44,535496652.05,0.4968,0.7171
2024-10-09,1728428400,2147.49,918687489.08,0.3545,0.3931
2024-10-10,1728514800,2168.78,1908855710.49,0.748,0.9018
2024-10-11,1728601200,2347.47,898199543.78,0.5744,0.6845
2024-10-12,1728687600,2288.88,1409313279.96,0.3024,0.5359
2024-10-13,1728774000,2253.53,1563177925.75,0.7919,0.5548
2024-10-14,1728860400,2197.36,1612925116.76,0.3817,0.3828
2024-10-15,1728946800,2272.59,995300054.06,0.3362,0.9073
2024-10-16,1729033200,2216.92,963926993.31,0.3223,0.6605
2024-10-17,1729119600,2251.37,1130669500.66,0.66,0.4399
2024-10-18,1729206000,2227.82,951424811.85,0.4459,0.5483
2024-10-19,1729292400,2295.81,1369977171.79,0.3554,0.3652
2024-10-20,1729378800,2302.5,1209779278.86,0.6675,0.3425
2024-10-21,1729465200,2337.24,1273178014.87,0.3591,0.416
2024-10-22,1729551600,2251.86,1509193505.84,0.4659,0.6816
2024-10-23,1729638000,2280.78,1212704516.33,0.4842,0.487
2024-10-24,1729724400,2307.12,791652855.11,0.3921,0.3296
2024-10-25,1729810800,2414.05,508317227.21,0.4516,0.2071
2024-10-26,1729897200,2486.1,763830022.56,0.6249,0.4869
2024-10-27,1729983600,2526.49,1772504521.03,0.1903,0.6472
2024-10-28,1730073600,2298.72,1393178477.7,0.7506,0.4199
2024-10-29,1730160000,2204.01,1257167247.24,0.5416,0.3296
