date,timestamp,price_usd,volume_24h,volatility_7d,volatility_30d
2024-09-04,1725404400,1798.72,517404128.67,0.4002,0.4604
2024-09-05,1725490800,1769.76,1962462540.61,0.5036,0.6319
2024-09-06,1725577200,1686.51,1840373703.71,0.3335,0.1153
2024-09-07,1725663600,1637.66,1136187026.86,0.513,0.3717
2024-09-08,1725750000,1694.62,511144987.25,0.207,0.5538
2024-09-09,1725836400,1655.72,1889846677.48,0.4153,0.5259
2024-09-10,1725922800,1690.97,1052867898.12,0.1145,0.3031
2024-09-11,1726009200,1757.92,1289612080.72,0.6086,0.2923
2024-09-12,1726095600,1820.07,1285035191.74,0.3633,0.4543
2024-09-13,1726182000,1746.4,1503075708.58,0.3748,0.3221
2024-09-14,1726268400,1694.15,1855377908.91,0.4284,0.5436
2024-09-15,1726354800,1693.7,1360947952.42,0.3814,0.7127
2024-09-16,1726441200,1705.19,751262244.23,0.3815,0.2961
2024-09-17,1726527600,1783.2,890664704.83,0.3145,0.3592
2024-09-18,1726614000,1728.84,937629813.06,0.4472,0.5031
2024-09-19,1726700400,1725.91,615293389.39,0.4741,0.401
2024-09-20,1726786800,1691.39,885433580.89,0.439,0.2782
2024-09-21,1726873200,1673.69,1488733460.53,0.3863,0.6407
2024-09-22,1726959600,1643.44,771213786.3,0.4117,0.5411
2024-09-23,1727046000,1676.62,1393316137.8,0.5746,0.2067
2024-09-24,1727132400,1628.37,1074750489.42,0.3215,0.2776
2024-09-25,1727218800,1697.92,1762749552.86,0.5608,0.6025
2024-09-26,1727305200,1688.51,1196022392.05,0.2813,0.5838
2024-09-27,1727391600,1691.48,850491967.57,0.3895,0.3682
2024-09-28,1727478000,1755.42,1152101494.5,0.3853,0.8968
2024-09-29,1727564400,1778.63,1295380134.32,0.5153,0.5252
2024-09-30,1727650800,1756.14,1766358924.27,0.2825,0.3641
2024-10-01,1727737200,1799.09,1703474541.36,0.4433,0.8148
2024-10-02,1727823600,1796.09,862695452.58,0.3287,0.2474
2024-10-03,1727910000,1762.72,1989822270.5,0.4415,0.5769
2024-10-04,1727996400,1773.91,1116873149.92,0.2247,0.5019
2024-10-05,1728082800,1829.2,877844160.72,0.6537,0.609
2024-10-06,1728169200,1881.65,1840950446.23,0.492,0.8147
2024-10-07,1728255600,2017.95,629579561.09,0.3347,0.4313
2024-10-08,1728342000,1937.38,1704800098.77,0.479,0.6389
2024-10-09,1728428400,1992.22,1490716769.58,0.5966,0.6507
2024-10-10,1728514800,2027.26,1538332237.71,0.3227,0.252
2024-10-11,1728601200,2135.52,915931222.33,0.5875,0.6258
2024-10-12,1728687600,2155.04,1719201295.8,0.4749,0.6182
2024-10-13,1728774000,2168.07,1088951667.9,0.4061,0.4741
2024-10-14,1728860400,2132.67,1420949436.46,0.5772,0.6837
2024-10-15,1728946800,2153.63,605618490.7,0.4134,0.2068
2024-10-16,1729033200,2191.95,1479297999.0,0.4917,0.5503
2024-10-17,1729119600,2210.58,994746303.98,0.44,0.5609
2024-10-18,1729206000,2095.16,1217209139.12,0.2508,0.7332
2024-10-19,1729292400,2080.24,838770262.93,0.2785,0.753
2024-10-20,1729378800,2055.21,1302956114.73,0.5849,0.5405
2024-10-21,1729465200,2076.7,1995523694.44,0.3638,0.3978
2024-10-22,1729551600,2047.06,1761772380.69,0.4581,0.3848
2024-10-23,1729638000,2133.44,1951269440.92,0.3828,0.4073
2024-10-24,1729724400,2149.26,1533263873.6,0.139,0.5852
2024-10-25,1729810800,2156.55,553547432.94,0.9466,0.6564
2024-10-26,1729897200,2226.44,1689108757.76,0.3404,0.3655
2024-10-27,1729983600,2243.94,1949861209.79,0.5858,0.5688
2024-10-28,1730073600,2321.29,1108261784.0,0.5021,0.8329
2024-10-29,1730160000,2247.51,1805300044.35,0.2099,0.4751
