date,price_usd,timestamp,volatility_30d,volatility_7d,volume_24h
2024-10-08,1937.38,1728342000,0.6389,0.479,1704800098.77
2024-10-09,1992.22,1728428400,0.6507,0.5966,1490716769.58
2024-10-10,2027.26,1728514800,0.252,0.3227,1538332237.71
2024-10-11,2135.52,1728601200,0.6258,0.5875,915931222.33
2024-10-12,2155.04,1728687600,0.6182,0.4749,1719201295.8
2024-10-13,2168.07,1728774000,0.4741,0.4061,1088951667.9
2024-10-14,2132.67,1728860400,0.6837,0.5772,1420949436.46
2024-10-15,2153.63,1728946800,0.2068,0.4134,605618490.7
2024-10-16,2191.95,1729033200,0.5503,0.4917,1479297999.0
2024-10-17,2210.58,1729119600,0.5609,0.44,994746303.98
2024-10-18,2095.16,1729206000,0.7332,0.2508,1217209139.12
2024-10-19,2080.24,1729292400,0.753,0.2785,838770262.93
2024-10-20,2055.21,1729378800,0.5405,0.5849,1302956114.73
2024-10-21,2076.7,1729465200,0.3978,0.3638,1995523694.44
2024-10-22,2047.06,1729551600,0.3848,0.4581,1761772380.69
2024-10-23,2133.44,1729638000,0.4073,0.3828,1951269440.92
2024-10-24,2149.26,1729724400,0.5852,0.139,1533263873.6
2024-10-25,2156.55,1729810800,0.6564,0.9466,553547432.94
2024-10-26,2226.44,1729897200,0.3655,0.3404,1689108757.76
2024-10-27,2243.94,1729983600,0.5688,0.5858,1949861209.79
2024-10-28,2321.29,1730073600,0.8329,0.5021,1108261784.0
2024-10-29,2247.51,1730160000,0.4751,0.2099,1805300044.35
