description,analytical_formula,category
StableSwap amplification A=800 variant 1,"A*(x+y) + xy = A*k^2, A=800",StableSwap Hybrid
StableSwap amplification A=800 variant 2,"A*(x+y) + xy = A*k^2, A=800",StableSwap Hybrid
StableSwap amplification A=800 variant 3,"A*(x+y) + xy = A*k^2, A=800",StableSwap Hybrid
StableSwap amplification A=1000 variant 1,"A*(x+y) + xy = A*k^2, A=1000",StableSwap Hybrid
StableSwap amplification A=1000 variant 2,"A*(x+y) + xy = A*k^2, A=1000",StableSwap Hybrid
StableSwap amplification A=1000 variant 3,"A*(x+y) + xy = A*k^2, A=1000",StableSwap Hybrid
Calculate impermanent loss for 50/50 pool,IL = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
"IL for 1.5x price move, volatility 0.1%","IL = 2*sqrt(1.5)/(1+1.5) - 1 + N(0,0.001)",Impermanent Loss
"IL for 1.5x price move, volatility 0.5%","IL = 2*sqrt(1.5)/(1+1.5) - 1 + N(0,0.005)",Impermanent Loss
"IL for 1.5x price move, volatility 1.0%","IL = 2*sqrt(1.5)/(1+1.5) - 1 + N(0,0.01)",Impermanent Loss
"IL for 2.0x price move, volatility 0.1%","IL = 2*sqrt(2.0)/(1+2.0) - 1 + N(0,0.001)",Impermanent Loss
"IL for 2.0x price move, volatility 0.5%","IL = 2*sqrt(2.0)/(1+2.0) - 1 + N(0,0.005)",Impermanent Loss
"IL for 2.0x price move, volatility 1.0%","IL = 2*sqrt(2.0)/(1+2.0) - 1 + N(0,0.01)",Impermanent Loss
"IL for 3.0x price move, volatility 0.1%","IL = 2*sqrt(3.0)/(1+3.0) - 1 + N(0,0.001)",Impermanent Loss
"IL for 3.0x price move, volatility 0.5%","IL = 2*sqrt(3.0)/(1+3.0) - 1 + N(0,0.005)",Impermanent Loss
"IL for 3.0x price move, volatility 1.0%","IL = 2*sqrt(3.0)/(1+3.0) - 1 + N(0,0.01)",Impermanent Loss
"IL for 5.0x price move, volatility 0.1%","IL = 2*sqrt(5.0)/(1+5.0) - 1 + N(0,0.001)",Impermanent Loss
"IL for 5.0x price move, volatility 0.5%","IL = 2*sqrt(5.0)/(1+5.0) - 1 + N(0,0.005)",Impermanent Loss
"IL for 5.0x price move, volatility 1.0%","IL = 2*sqrt(5.0)/(1+5.0) - 1 + N(0,0.01)",Impermanent Loss
"IL for 10.0x price move, volatility 0.1%","IL = 2*sqrt(10.0)/(1+10.0) - 1 + N(0,0.001)",Impermanent Loss
"IL for 10.0x price move, volatility 0.5%","IL = 2*sqrt(10.0)/(1+10.0) - 1 + N(0,0.005)",Impermanent Loss
"IL for 10.0x price move, volatility 1.0%","IL = 2*sqrt(10.0)/(1+10.0) - 1 + N(0,0.01)",Impermanent Loss
IL 50/50 pool in bullish market,IL_50/50(bullish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 50/50 pool in bearish market,IL_50/50(bearish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 50/50 pool in sideways market,IL_50/50(sideways) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 80/20 pool in bullish market,IL_80/20(bullish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 80/20 pool in bearish market,IL_80/20(bearish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 80/20 pool in sideways market,IL_80/20(sideways) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 60/40 pool in bullish market,IL_60/40(bullish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 60/40 pool in bearish market,IL_60/40(bearish) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
IL 60/40 pool in sideways market,IL_60/40(sideways) = 2*sqrt(p)/(1+p) - 1,Impermanent Loss
Calculate LP position value,value = LP_share * pool_assets,Position Value
LP position 14% ownership in $1e+03 pool,value = 0.14 * 1000,Position Value
LP position 14% ownership in $1e+04 pool,value = 0.14 * 10000,Position Value
LP position 14% ownership in $1e+05 pool,value = 0.14 * 100000,Position Value
LP position 14% ownership in $1e+06 pool,value = 0.14 * 1000000,Position Value
LP position 14% ownership in $1e+07 pool,value = 0.14 * 10000000,Position Value
LP position 28% ownership in $1e+03 pool,value = 0.28 * 1000,Position Value
LP position 28% ownership in $1e+04 pool,value = 0.28 * 10000,Position Value
LP position 28% ownership in $1e+05 pool,value = 0.28 * 100000,Position Value
LP position 28% ownership in $1e+06 pool,value = 0.28 * 1000000,Position Value
LP position 28% ownership in $1e+07 pool,value = 0.28 * 10000000,Position Value
LP position 42% ownership in $1e+03 pool,value = 0.42 * 1000,Position Value
LP position 42% ownership in $1e+04 pool,value = 0.42 * 10000,Position Value
LP position 42% ownership in $1e+05 pool,value = 0.42 * 100000,Position Value
LP position 42% ownership in $1e+06 pool,value = 0.42 * 1000000,Position Value
LP position 42% ownership in $1e+07 pool,value = 0.42 * 10000000,Position Value
LP position 56% ownership in $1e+03 pool,value = 0.56 * 1000,Position Value
LP position 56% ownership in $1e+04 pool,value = 0.56 * 10000,Position Value
LP position 56% ownership in $1e+05 pool,value = 0.56 * 100000,Position Value
LP position 56% ownership in $1e+06 pool,value = 0.56 * 1000000,Position Value
LP position 56% ownership in $1e+07 pool,value = 0.56 * 10000000,Position Value
LP position 70% ownership in $1e+03 pool,value = 0.70 * 1000,Position Value
LP position 70% ownership in $1e+04 pool,value = 0.70 * 10000,Position Value
LP position 70% ownership in $1e+05 pool,value = 0.70 * 100000,Position Value
LP position 70% ownership in $1e+06 pool,value = 0.70 * 1000000,Position Value
LP position 70% ownership in $1e+07 pool,value = 0.70 * 10000000,Position Value
LP position 84% ownership in $1e+03 pool,value = 0.84 * 1000,Position Value
LP position 84% ownership in $1e+04 pool,value = 0.84 * 10000,Position Value
LP position 84% ownership in $1e+05 pool,value = 0.84 * 100000,Position Value
LP position 84% ownership in $1e+06 pool,value = 0.84 * 1000000,Position Value
LP position 84% ownership in $1e+07 pool,value = 0.84 * 10000000,Position Value
LP position 98% ownership in $1e+03 pool,value = 0.98 * 1000,Position Value
LP position 98% ownership in $1e+04 pool,value = 0.98 * 10000,Position Value
LP position 98% ownership in $1e+05 pool,value = 0.98 * 100000,Position Value
LP position 98% ownership in $1e+06 pool,value = 0.98 * 1000000,Position Value
LP position 98% ownership in $1e+07 pool,value = 0.98 * 10000000,Position Value
Uniswap V3 concentrated liquidity value,value = L * (sqrt(P_upper) - sqrt(P_lower)) * sqrt(P_current),Concentrated Liquidity
Uniswap V3 1x concentration in 10^6 pool,value = 1 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 1x concentration in 10^7 pool,value = 1 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 1x concentration in 10^8 pool,value = 1 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 1x concentration in 10^9 pool,value = 1 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 1x concentration in 10^10 pool,value = 1 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 5x concentration in 10^6 pool,value = 5 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 5x concentration in 10^7 pool,value = 5 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 5x concentration in 10^8 pool,value = 5 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 5x concentration in 10^9 pool,value = 5 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 5x concentration in 10^10 pool,value = 5 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 10x concentration in 10^6 pool,value = 10 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 10x concentration in 10^7 pool,value = 10 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 10x concentration in 10^8 pool,value = 10 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 10x concentration in 10^9 pool,value = 10 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 10x concentration in 10^10 pool,value = 10 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 25x concentration in 10^6 pool,value = 25 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 25x concentration in 10^7 pool,value = 25 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 25x concentration in 10^8 pool,value = 25 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 25x concentration in 10^9 pool,value = 25 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 25x concentration in 10^10 pool,value = 25 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 50x concentration in 10^6 pool,value = 50 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 50x concentration in 10^7 pool,value = 50 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 50x concentration in 10^8 pool,value = 50 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 50x concentration in 10^9 pool,value = 50 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 50x concentration in 10^10 pool,value = 50 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 100x concentration in 10^6 pool,value = 100 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 100x concentration in 10^7 pool,value = 100 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 100x concentration in 10^8 pool,value = 100 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 100x concentration in 10^9 pool,value = 100 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Uniswap V3 100x concentration in 10^10 pool,value = 100 * L * (sqrt(P_u) - sqrt(P_l)) * sqrt(P_c),Concentrated Liquidity
Calculate LP fee earnings from daily volume,fees = fee_tier * volume * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+05 volume,fees = 0.001 * 100000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+06 volume,fees = 0.001 * 1000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+07 volume,fees = 0.001 * 10000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+08 volume,fees = 0.001 * 100000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+09 volume,fees = 0.001 * 1000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+10 volume,fees = 0.001 * 10000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+11 volume,fees = 0.001 * 100000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.10% tier on $1e+12 volume,fees = 0.001 * 1000000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+05 volume,fees = 0.005 * 100000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+06 volume,fees = 0.005 * 1000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+07 volume,fees = 0.005 * 10000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+08 volume,fees = 0.005 * 100000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+09 volume,fees = 0.005 * 1000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+10 volume,fees = 0.005 * 10000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+11 volume,fees = 0.005 * 100000000000 * (L_user / L_total),Fee Earnings
Fee earnings 0.50% tier on $1e+12 volume,fees = 0.005 * 1000000000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+05 volume,fees = 0.01 * 100000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+06 volume,fees = 0.01 * 1000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+07 volume,fees = 0.01 * 10000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+08 volume,fees = 0.01 * 100000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+09 volume,fees = 0.01 * 1000000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+10 volume,fees = 0.01 * 10000000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+11 volume,fees = 0.01 * 100000000000 * (L_user / L_total),Fee Earnings
Fee earnings 1.00% tier on $1e+12 volume,fees = 0.01 * 1000000000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+05 volume,fees = 0.03 * 100000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+06 volume,fees = 0.03 * 1000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+07 volume,fees = 0.03 * 10000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+08 volume,fees = 0.03 * 100000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+09 volume,fees = 0.03 * 1000000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+10 volume,fees = 0.03 * 10000000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+11 volume,fees = 0.03 * 100000000000 * (L_user / L_total),Fee Earnings
Fee earnings 3.00% tier on $1e+12 volume,fees = 0.03 * 1000000000000 * (L_user / L_total),Fee Earnings
Calculate APY with compounding,APY = (1 + r/n)^n - 1,APY Calculation
APY 5% yield compounded 1x/year,APY = (1 + 0.05/1)^1 - 1,APY Calculation
APY 5% yield compounded 4x/year,APY = (1 + 0.05/4)^4 - 1,APY Calculation
APY 5% yield compounded 12x/year,APY = (1 + 0.05/12)^12 - 1,APY Calculation
APY 5% yield compounded 365x/year,APY = (1 + 0.05/365)^365 - 1,APY Calculation
APY 10% yield compounded 1x/year,APY = (1 + 0.10/1)^1 - 1,APY Calculation
APY 10% yield compounded 4x/year,APY = (1 + 0.10/4)^4 - 1,APY Calculation
APY 10% yield compounded 12x/year,APY = (1 + 0.10/12)^12 - 1,APY Calculation
APY 10% yield compounded 365x/year,APY = (1 + 0.10/365)^365 - 1,APY Calculation
APY 20% yield compounded 1x/year,APY = (1 + 0.20/1)^1 - 1,APY Calculation
APY 20% yield compounded 4x/year,APY = (1 + 0.20/4)^4 - 1,APY Calculation
APY 20% yield compounded 12x/year,APY = (1 + 0.20/12)^12 - 1,APY Calculation
APY 20% yield compounded 365x/year,APY = (1 + 0.20/365)^365 - 1,APY Calculation
APY 50% yield compounded 1x/year,APY = (1 + 0.50/1)^1 - 1,APY Calculation
APY 50% yield compounded 4x/year,APY = (1 + 0.50/4)^4 - 1,APY Calculation
APY 50% yield compounded 12x/year,APY = (1 + 0.50/12)^12 - 1,APY Calculation
APY 50% yield compounded 365x/year,APY = (1 + 0.50/365)^365 - 1,APY Calculation
Calculate trading slippage percentage,slippage% = (expected - actual) / expected * 100,Slippage
Slippage for 0.1% trade in 10^5 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^6 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^7 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^8 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^9 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^10 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.1% trade in 10^11 pool,slip = (0.001 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^5 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^6 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^7 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^8 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^9 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^10 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 0.5% trade in 10^11 pool,slip = (0.005 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^5 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^6 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^7 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^8 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^9 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^10 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 1% trade in 10^11 pool,slip = (0.01 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^5 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^6 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^7 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^8 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^9 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^10 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 2% trade in 10^11 pool,slip = (0.02 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^5 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^6 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^7 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^8 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^9 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^10 pool,slip = (0.05 / pool)^2 * 100,Slippage
Slippage for 5% trade in 10^11 pool,slip = (0.05 / pool)^2 * 100,Slippage
Calculate price movement from trade,impact% = (trade / pool) * 100,Price Impact
Price impact depth=0.5 in 10^6 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^7 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^8 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^9 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^10 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^11 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=0.5 in 10^12 pool,impact = (trade / (pool * 0.5)) * 100,Price Impact
Price impact depth=1.0 in 10^6 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=1.0 in 10^7 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=1.0 in 10^8 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=1.0 in 10^9 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=1.0 in 10^10 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=1.0 in 10^11 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
